conso_id;annee;conso_agri;conso_indu;conso_tert;conso_resi;conso_autre;conso_totale;code_dep
134;2012;0;748738;1412896;0;0;2161634;01
404;2015;3084;4517;2114;64331;19335;93381;01
770;2018;3106;4472;1979;65516;19688;94761;01
819;2019;62325;1231721;1113696;1695718;46189;4149650;01
937;2020;65805;1120546;1113777;1724849;14267;4039245;01
1153;2011;28496;1180990;737572;1977575;37948;3962580;01
1196;2012;29907;1211332;759708;2123743;15482;4140173;01
1318;2013;0;762324;638511;0;0;1400835;01
1352;2014;29371;1184823;742935;2001719;15330;3974178;01
1406;2014;0;762810;835647;0;0;1598457;01
1443;2015;36888;1198467;769692;2079610;33242;4117899;01
1605;2016;0;823989;1392717;0;0;2216706;01
1659;2017;57123;1210963;810137;2142575;3;4220800;01
1728;2017;0;816918;1337592;0;0;2154510;01
1832;2018;0;792492;1460990;0;0;2253482;01
2179;2021;1586;8543;16076;35184;3531;64920;01
2370;2013;32234;1196983;784308;2200496;35279;4249300;01
2639;2015;0;722595;1446167;0;0;2168762;01
2686;2016;35497;1224672;779481;2174343;918;4214910;01
2844;2017;3345;4900;2293;69784;20974;101297;01
2896;2018;63103;1217126;1163700;1677509;52397;4173835;01
3055;2019;1403;8842;11518;76904;1856;100523;01
3056;2019;0;775079;650183;0;0;1425262;01
3163;2020;1683;7604;11069;80678;2013;103047;01
3165;2020;0;530145;630448;0;0;1160593;01
3210;2021;61167;1146775;1162047;1827582;5249;4202821;01
3278;2021;0;788690;1180704;0;0;1969394;01
1;2011;26491;838011;515742;1472027;3010;2855281;02
67;2012;22131;852174;534367;1571036;3194;2982902;02
168;2013;24021;844277;536491;1607454;3113;3015356;02
220;2013;0;301033;98989;0;0;400022;02
254;2013;0;0;0;336;0;336;02
440;2015;0;0;89;1409;0;1498;02
443;2015;0;0;0;335;0;335;02
554;2016;0;0;65;1408;0;1473;02
566;2016;0;0;0;1123;0;1123;02
683;2017;5631;14830;18723;126895;11052;177131;02
702;2018;59577;752437;700420;1173655;79140;2765229;02
820;2019;57108;761148;687732;1177666;70228;2753882;02
916;2019;5451;14695;18599;122475;10884;172104;02
938;2020;64542;711320;694493;1176442;16060;2662857;02
1031;2020;0;0;0;380;0;380;02
1047;2021;58737;756830;733411;1250162;11251;2810391;02
1144;2021;0;0;252;2267;0;2520;02
1234;2012;0;297170;102998;0;0;400168;02
1441;2014;0;0;0;335;0;335;02
1533;2015;0;0;0;1076;0;1076;02
1606;2016;0;250970;94850;0;0;345820;02
1643;2016;0;0;0;312;0;312;02
1757;2017;0;0;81;1334;0;1415;02
1833;2018;0;232993;91729;0;0;324722;02
1865;2018;0;0;71;1399;0;1470;02
1873;2018;0;0;0;1093;0;1093;02
1972;2019;0;0;0;186;0;186;02
1976;2019;0;0;0;995;0;995;02
2182;2021;0;230612;77789;0;0;308401;02
2216;2021;5742;15491;25389;111706;13755;172082;02
2461;2014;24832;798648;506975;1440589;3215;2774260;02
2526;2014;0;286845;96124;0;0;382969;02
2574;2015;28656;794320;522719;1487934;2617;2836246;02
2640;2015;0;284672;96509;0;0;381182;02
2670;2015;4298;11255;5040;63363;3233;87189;02
2687;2016;25058;806926;542095;1523564;1311;2898953;02
2776;2016;5212;15987;18967;123336;9780;173282;02
2786;2017;29794;772375;540398;1486230;0;2828798;02
2846;2017;0;234560;95204;0;0;329763;02
2886;2017;0;0;0;318;0;318;02
2890;2017;0;0;0;1129;0;1129;02
2983;2018;5451;14695;18599;124438;10884;174067;02
2984;2018;0;0;0;289;0;289;02
3057;2019;0;217292;92460;0;0;309752;02
3091;2019;0;0;75;1173;0;1248;02
3166;2020;0;226549;65917;0;0;292466;02
3190;2020;0;0;0;102548;55428;157976;02
3198;2020;0;0;99;1934;0;2033;02
3314;2021;0;0;0;331;0;331;02
2;2011;25748;426364;430434;1130822;3822;2017191;03
